model,regime,dates,rank_ic,directional_accuracy,rmse,confidence_mean,net_sharpe,net_mean_return,net_cumulative_return,turnover
sa_hysteresis_v21,calm,401,-0.006733586202560822,0.5148129675810473,0.01412743330001831,0.14050166308879852,-2.4330907591836906,-8.04766090865828e-05,-0.03181063261930517,0.13501620292663574
sa_hysteresis_v21,shock,10,-0.02943577430972389,0.502,0.017276201397180557,0.12938104569911957,-13.73251520927542,-0.0006383072882759737,-0.006367207218591631,0.8888888359069824
sa_hysteresis_v21,stress,10,-0.03034813925570229,0.498,0.015705980360507965,0.12858980894088745,-5.283783613669825,-0.00014491970757735638,-0.0014491043244865276,0.22222232818603516
sa_hysteresis_v21,recovery,4,-0.07116446578631452,0.54,0.009334437549114227,0.13048848509788513,-7.670322648655296,-0.00021618550726998365,-0.0008647618861586936,0.0
sa_hysteresis_v21,all,425,-0.008429800155356259,0.5143529411764706,0.014211288653314114,0.1398654729127884,-2.915002227024436,-9.874854536605368e-05,-0.04116046522000949,0.15567567944526672
ridge,calm,401,-0.028226791963668257,0.4967581047381546,0.01271409634500742,1.0,-1.6199107636678938,-0.0003383252483342546,-0.12880443222276228,0.6088457703590393
ridge,shock,10,-0.07604321728691477,0.464,0.018239304423332214,1.0,-4.919175920514913,-0.0007929750405310188,-0.007930776248031957,0.4744932949542999
ridge,stress,10,-0.16686674669867946,0.424,0.016679884865880013,1.0,-12.474734653465253,-0.0022219825550564565,-0.02203435237217999,0.7425737380981445
ridge,recovery,4,-0.09210084033613444,0.475,0.012533921748399734,1.0,-15.49495980521307,-0.0008030344761209562,-0.003209284557156522,0.862579345703125
ridge,all,425,-0.0332151684203093,0.4940705882352941,0.012975838035345078,1.0,-1.9085100777958117,-0.00039454269652196674,-0.15633190671100639,0.59995436668396
random_forest,calm,401,0.007418548466768256,0.5011970074812968,0.01043669138415241,1.0,-2.830394167103369,-0.0005642812986823595,-0.20414944800646873,0.7433793979622959
random_forest,shock,10,0.0826218487394958,0.55,0.0131498366039004,1.0,-3.0041662784363403,-0.0008424724505975438,-0.008481934771734312,0.8215166456254988
random_forest,stress,10,-0.04692436974789915,0.498,0.010819999669681234,1.0,-15.022923882762168,-0.0024214580663739927,-0.023981381292159543,1.157112416878037
random_forest,recovery,4,0.19217286914765908,0.585,0.004956724093757195,1.0,5.5835700029603785,0.0006799898459167791,0.0027171263867578066,1.1860322406124204
random_forest,all,425,0.009648245180425109,0.5030588235294118,0.010479887488938354,1.0,-2.9877206130965193,-0.0005990082323777988,-0.2264794466323915,0.744061844044971
persistence,calm,401,0.07597967865450418,0.5421945137157107,0.014591068029403687,1.0,-2.624713808960799,-0.0006029757040327005,-0.21692696142553014,1.2357193231582642
persistence,shock,10,0.07761824729891956,0.564,0.01998358778655529,1.0,-7.399785275827159,-0.001837755533051677,-0.018295286491265994,1.170989751815796
persistence,stress,10,-0.07168307322929171,0.444,0.022433031350374222,1.0,-6.05057544175135,-0.002296245313482359,-0.022888437288974717,1.419138789176941
persistence,recovery,4,-0.0002641056422569149,0.51,0.009202774614095688,1.0,-11.978533704562027,-0.002015021033002995,-0.008046427176479187,1.461126685142517
persistence,all,425,0.07182622696137278,0.5400941176470588,0.014930208213627338,1.0,-2.9467224862084027,-0.0006893386877773617,-0.2562121889490713,1.2394657135009766
momentum,calm,401,-0.0035597680468696185,0.49561097256857856,0.011329670436680317,1.0,-1.4751586812643012,-0.0003557239465918517,-0.13550855949666551,0.600785493850708
momentum,shock,10,-0.11148139255702279,0.446,0.015591354109346867,1.0,-7.445792915676318,-0.002082945364236366,-0.020722778497191285,0.644784152507782
momentum,stress,10,0.015596638655462184,0.496,0.01235169917345047,1.0,-0.652005987272786,-0.00010252662468701601,-0.0010527978824126372,0.9795620441436768
momentum,recovery,4,0.1525330132052821,0.53,0.006961094215512276,1.0,4.082218467574624,0.0006302999681793153,0.0025145750097439468,1.3282843828201294
momentum,all,425,-0.004179252877621637,0.4947764705882353,0.011440208181738853,1.0,-1.5544696745490947,-0.000372894749568385,-0.14921607910519752,0.5941534638404846
