epoch,train_loss,valid_loss
1,-0.24312408742579547,-0.673027566075325
2,-1.041483385996385,-0.8887440666556359
3,-1.5839643586765637,-1.9397445425391198
4,-1.9633595184846357,-2.5657463878393174
5,-2.032093958421187,-1.7888625219464303
6,-2.231283350424333,-2.1832837998867034
7,-2.3337258967486294,-2.395777331292629
8,-2.235036178068681,-2.7719553604722025
9,-2.448495854030956,-2.401081120967865
10,-2.5065912116657603,-2.055564746260643
11,-2.4785870096900244,-2.787990626692772
12,-2.516542066227306,-3.0217048108577726
13,-2.5722223845395176,-2.431139495968819
14,-2.649586655876853,-2.1938861340284346
15,-2.5874856385317715,-2.9649539619684218
16,-2.641433694145896,-3.194600895047188
17,-2.6731710650704126,-2.31062094271183
18,-2.715572465549816,-2.5373431146144867
19,-2.7387132211164995,-2.8120286732912065
20,-2.634583971717141,-3.133544224500656
21,-2.792300657792525,-2.826626864075661
22,-2.819455948742953,-2.069779148697853
23,-2.6971762613816694,-3.223986876010895
24,-2.817878181284124,-3.409405753016472
25,-2.798816269094294,-2.3303193390369414
26,-2.852151242169467,-2.690707215666771
27,-2.878188631751321,-2.922977492213249
28,-2.755303057757291,-3.2597253173589706
29,-2.9304310625249688,-2.9324736267328264
30,-2.9547356258739126,-2.2718393474817278
